Sentence,Type
Tell me the formula for water?,Query
How do plants make food?,Query
What is the composition of blood?,Query
Can you explain energy?,Query
I want to know more about photosynthesis?,Query
Tell me the formula for water?,Query
What is ploymer?,Query
I am feeling a little dull,Motivation
Motivate me,Motivation
I feel tired,Motivation
I feel unenthuisastic,Motivation
Studies are very tough,Motivation
Remind me to give the test tommorow,Reminder
Set a reminder to study at 4pm,Reminder
Remind me to give the test at 5pm on thursday,Reminder
Set an alarm for 4pm tommorow,Reminder
Please remind me to give the test tommorow,Reminder
